order_id;datum;klant;product;categorie;aantal;prijs
1001;4-1-2026;De Vries Digital;Server Rack 42U;Infrastructure;1;85.00
1002;5-1-2026;Bos Software Services;USB-C Docking Station;Accessories;2;11.00
1003;5-1-2026;Mulder & Co;Noise-Canceling Headset;Accessories;10;15.00
1004;8-1-2026;De Vries Digital;Wi-Fi 6 Router;Infrastructure;4;13.00
1005;14-1-2026;Bos Software Services;27-inch 4K Monitor;Hardware;9;35.00
1006;23-1-2026;Mulder & Co;Webcam HD 1080p;Accessories;2;6.00
1007;24-1-2026;Bakker Media;Wi-Fi 6 Router;Infrastructure;5;13.00
1008;28-1-2026;De Vries Digital;Laptop Pro 15;Hardware;7;120.00
1009;29-1-2026;Bakker Media;Graphics Card RTX 4070;Hardware;1;65.00
1010;30-1-2026;TechCorp B.V.;Noise-Canceling Headset;Accessories;8;15.00
1011;2-2-2026;Meijer Cloud;Laptop Pro 15;Hardware;10;120.00
1012;5-2-2026;Bakker Media;Cloud Storage Annual Sub;Software;5;12.00
1013;5-2-2026;Dijkstra Data;Wireless Mouse;Accessories;4;2.55
1014;6-2-2026;Bos Software Services;27-inch 4K Monitor;Hardware;5;35.00
1015;10-2-2026;Bakker Media;Graphics Card RTX 4070;Hardware;2;65.00
1016;11-2-2026;Visser Systems;Developer IDE License;Software;10;20.00
1017;16-2-2026;TechCorp B.V.;Graphics Card RTX 4070;Hardware;2;65.00
1018;20-2-2026;TechCorp B.V.;Developer IDE License;Software;9;20.00
1019;21-2-2026;De Vries Digital;Webcam HD 1080p;Accessories;4;6.00
1020;22-2-2026;De Vries Digital;Antivirus Security Suite;Software;2;4.50
1021;6-3-2026;Jansen IT Solutions;Developer IDE License;Software;8;20.00
1022;9-3-2026;Dijkstra Data;Noise-Canceling Headset;Accessories;8;15.00
1023;10-3-2026;Smit Logistics;Wireless Mouse;Accessories;2;2.55
1024;15-3-2026;Smit Logistics;Mechanical Keyboard;Accessories;4;8.50
1025;20-3-2026;Meijer Cloud;Wi-Fi 6 Router;Infrastructure;3;13.00
1026;20-3-2026;Jansen IT Solutions;Wi-Fi 6 Router;Infrastructure;7;13.00
1027;21-3-2026;Bakker Media;Wi-Fi 6 Router;Infrastructure;6;13.00
1028;22-3-2026;Mulder & Co;Graphics Card RTX 4070;Hardware;9;65.00
1029;25-3-2026;Mulder & Co;Antivirus Security Suite;Software;5;450.00
1030;25-3-2026;Meijer Cloud;Cloud Storage Annual Sub;Software;4;12.00
1031;27-3-2026;Visser Systems;External SSD 1TB;Hardware;8;9.50
1032;8-4-2026;De Vries Digital;Wireless Mouse;Accessories;7;2.55
1033;8-4-2026;Bos Software Services;External SSD 1TB;Hardware;3;9.50
1034;15-4-2026;Meijer Cloud;27-inch 4K Monitor;Hardware;5;35.00
1035;19-4-2026;Dijkstra Data;Server Rack 42U;Infrastructure;6;85.00
1036;19-4-2026;Mulder & Co;Antivirus Security Suite;Software;8;4.50
1037;20-4-2026;Visser Systems;Laptop Pro 15;Hardware;3;120.00
1038;22-4-2026;Bakker Media;Webcam HD 1080p;Accessories;10;6.00
1039;23-4-2026;Jansen IT Solutions;Webcam HD 1080p;Accessories;8;6.00
1040;28-4-2026;De Vries Digital;Laptop Pro 15;Hardware;6;120.00
1041;4-5-2026;Dijkstra Data;Wireless Mouse;Accessories;2;2.55
1042;5-5-2026;Mulder & Co;Wi-Fi 6 Router;Infrastructure;7;13.00
1043;6-5-2026;Bakker Media;Mechanical Keyboard;Accessories;2;8.50
1044;8-5-2026;De Vries Digital;External SSD 1TB;Hardware;9;9.50
1045;15-5-2026;Bos Software Services;Wi-Fi 6 Router;Infrastructure;3;13.00
1046;23-5-2026;TechCorp B.V.;Wi-Fi 6 Router;Infrastructure;3;13.00
1047;1-6-2026;Bakker Media;Laptop Pro 15;Hardware;10;120.00
1048;11-6-2026;Visser Systems;USB-C Docking Station;Accessories;2;11.00
1049;15-6-2026;Mulder & Co;Laptop Pro 15;Hardware;2;120.00
1050;23-6-2026;De Vries Digital;27-inch 4K Monitor;Hardware;4;35.00
1051;1-7-2026;Visser Systems;Antivirus Security Suite;Software;8;4.50
1052;3-7-2026;Meijer Cloud;Noise-Canceling Headset;Accessories;5;15.00
1053;5-7-2026;Smit Logistics;27-inch 4K Monitor;Hardware;1;35.00
1054;13-7-2026;De Vries Digital;Webcam HD 1080p;Accessories;5;6.00
1055;14-7-2026;TechCorp B.V.;Antivirus Security Suite;Software;5;4.50
1056;14-7-2026;Smit Logistics;External SSD 1TB;Hardware;6;9.50
1057;22-7-2026;Jansen IT Solutions;Developer IDE License;Software;5;20.00
1058;24-7-2026;Meijer Cloud;External SSD 1TB;Hardware;9;9.50
1059;26-7-2026;De Vries Digital;Noise-Canceling Headset;Accessories;4;15.00
1060;3-8-2026;Bakker Media;External SSD 1TB;Hardware;10;9.50
1061;5-8-2026;TechCorp B.V.;Laptop Pro 15;Hardware;2;120.00
1062;5-8-2026;Jansen IT Solutions;USB-C Docking Station;Accessories;8;11.00
1063;8-8-2026;Dijkstra Data;Antivirus Security Suite;Software;6;4.50
1064;11-8-2026;Jansen IT Solutions;External SSD 1TB;Hardware;1;9.50
1065;20-8-2026;De Vries Digital;27-inch 4K Monitor;Hardware;4;35.00
1066;21-8-2026;Smit Logistics;Antivirus Security Suite;Software;9;4.50
1067;23-8-2026;Meijer Cloud;Wi-Fi 6 Router;Infrastructure;2;13.00
1068;6-9-2026;De Vries Digital;Wi-Fi 6 Router;Infrastructure;9;13.00
1069;15-9-2026;Bos Software Services;Mechanical Keyboard;Accessories;1;8.50
1070;17-9-2026;Smit Logistics;Mechanical Keyboard;Accessories;6;8.50
1071;17-9-2026;De Vries Digital;Graphics Card RTX 4070;Hardware;5;65.00
1072;18-9-2026;De Vries Digital;Graphics Card RTX 4070;Hardware;3;65.00
1073;4-10-2026;Bos Software Services;Laptop Pro 15;Hardware;10;120.00
1074;5-10-2026;TechCorp B.V.;Server Rack 42U;Infrastructure;6;85.00
1075;9-10-2026;Jansen IT Solutions;USB-C Docking Station;Accessories;9;11.00
1076;11-10-2026;Bakker Media;Noise-Canceling Headset;Accessories;4;15.00
1077;11-10-2026;Jansen IT Solutions;USB-C Docking Station;Accessories;5;11.00
1078;11-10-2026;TechCorp B.V.;Developer IDE License;Software;2;20.00
1079;15-10-2026;Bos Software Services;USB-C Docking Station;Accessories;10;11.00
1080;17-10-2026;Bos Software Services;Cloud Storage Annual Sub;Software;5;12.00
1081;23-10-2026;Bakker Media;Server Rack 42U;Infrastructure;2;85.00
1082;24-10-2026;Dijkstra Data;Laptop Pro 15;Hardware;10;120.00
1083;2-11-2026;Mulder & Co;Webcam HD 1080p;Accessories;5;6.00
1084;2-11-2026;De Vries Digital;Antivirus Security Suite;Software;7;4.50
1085;6-11-2026;Bakker Media;Server Rack 42U;Infrastructure;6;85.00
1086;7-11-2026;Visser Systems;27-inch 4K Monitor;Hardware;9;35.00
1087;8-11-2026;Jansen IT Solutions;Webcam HD 1080p;Accessories;4;6.00
1088;18-11-2026;Dijkstra Data;Graphics Card RTX 4070;Hardware;6;65.00
1089;24-11-2026;Bos Software Services;Noise-Canceling Headset;Accessories;4;15.00
1090;24-11-2026;Bos Software Services;27-inch 4K Monitor;Hardware;6;35.00
1091;24-11-2026;De Vries Digital;Laptop Pro 15;Hardware;5;120.00
1092;25-11-2026;Meijer Cloud;Wireless Mouse;Accessories;5;2.55
1093;5-12-2026;Mulder & Co;Mechanical Keyboard;Accessories;4;8.50
1094;9-12-2026;Mulder & Co;27-inch 4K Monitor;Hardware;9;35.00
1095;10-12-2026;Smit Logistics;Server Rack 42U;Infrastructure;2;85.00
1096;13-12-2026;Bos Software Services;Wireless Mouse;Accessories;10;2.55
1097;16-12-2026;Bos Software Services;Wi-Fi 6 Router;Infrastructure;5;13.00
1098;20-12-2026;Bakker Media;Server Rack 42U;Infrastructure;5;85.00
1099;24-12-2026;Visser Systems;Cloud Storage Annual Sub;Software;5;12.00
1100;27-12-2026;Smit Logistics;Noise-Canceling Headset;Accessories;9;15.00
